search URL:,https://patents.google.com/?q=reflective&q=green&q=sustainable&q=procedure&q=eco&inventor=Paul&country=US&before=priority:20220331&after=priority:20000101&type=PATENT&litigation=YES&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-7534595-B2,Compositions of prokaryotic phenylalanine ammonia-lyase and methods of using compositions thereof ,Biomarin Pharmaceutical Inc.,"Michel Claude Vellard, Paul Andrew Fitzpatrick, Emil D. Kakkis, Daniel J. Wendt",2006-06-12,2007-05-25,2009-05-19,2009-05-19,https://patents.google.com/patent/US7534595B2/en,https://patentimages.storage.googleapis.com/73/96/cd/9dc4c14a32a448/US07534595-20090519-D00008.png
US-7910203-B2,Selectively metallized heat transfer label ,Illinois Tool Works Inc.,"Michael B. Colella, Paul Giusto, Eileen M. Norris",2006-09-08,2007-08-31,2011-03-22,2011-03-22,https://patents.google.com/patent/US7910203B2/en,https://patentimages.storage.googleapis.com/c0/74/ce/62992532815845/US07910203-20110322-D00000.png
US-7790433-B2,Compositions of prokaryotic phenylalanine ammonia-lyase and methods of treating cancer using compositions thereof ,Biomarin Pharmaceutical Inc.,"Emil D. Kakkis, Paul A. Fitzpatrick, Daniel J. Wendt, Sean M. Bell, Augustus O. Okhamafe",2007-08-17,2009-04-09,2010-09-07,2010-09-07,https://patents.google.com/patent/US7790433B2/en,https://patentimages.storage.googleapis.com/25/5e/ec/04abc978aa19e6/US07790433-20100907-D00001.png
US-2021085778-A1,Parenteral norovirus vaccine formulations ,"Takeda Vaccines, Inc.","Charles Richardson, Thomas S. Foubert, Robert F. Bargatze, Paul Mendelman",2011-07-11,2020-06-05,2021-03-25,,https://patents.google.com/patent/US20210085778A1/en,https://patentimages.storage.googleapis.com/36/e9/d9/7789f77ddaaf8d/US20210085778A1-20210325-D00001.png
US-2009275570-A1,"Substituted heterocycles and their use as chk1, pdk1 and pak inhibitors ",Astrazeneca Ab,"Kevin Daly, Nicola Heron, Alexander Hird, Stephanos Ioannidis, James Janetka, Paul Lyne, Jaime Scott, Dorin Toader, Melissa Vasbinder, Dingwei Yu, Yan Yu",2005-04-06,2006-04-05,2009-11-05,,https://patents.google.com/patent/US20090275570A1/en,
US-8479656-B2,Water based paintball and method for fabricating water based paintballs ,"Hydro-Caps, Llc","Paul M. Ciesiun, Ronnie E. Bayless",2005-02-05,2009-10-20,2013-07-09,2013-07-09,https://patents.google.com/patent/US8479656B2/en,https://patentimages.storage.googleapis.com/86/e6/cc/fbe878e99c504a/US08479656-20130709-D00000.png
US-2008274505-A1,"Polynucleotide encoding a novel TRP channel family member, LTRPC3, and splice variants thereof ",Bristol-Myers Squibb Company,"Ning Lee, Jian Chen, John N. Feder, Shujian Wu, Liana M. Lee, Michael A. Blanar, David Bol, Paul C. Lavesque, Lucy Sun",2001-08-02,2008-05-15,2008-11-06,,https://patents.google.com/patent/US20080274505A1/en,https://patentimages.storage.googleapis.com/US20080274505A1/US20080274505A1-20081106-D00001.png
US-2015284391-A1,Hepatitis c virus inhibitors ,Bristol-Myers Squibb Company,"Li-Qiang Sun, Eric Mull, Eric P. Gillis, Michael S. Bowsher, Qian Zhao, Kishore V. Renduchintala, Kandhasamy Sarkunam, Pulicharla Nagalakshmi, P.V.K. Suresh Babu, Paul Michael Scola",2012-10-19,2012-10-19,2015-10-08,,https://patents.google.com/patent/US20150284391A1/en,
US-2017136493-A1,Coated substrates prepared with waterborne sealer and primer compositions ,"Ppg Industries Ohio, Inc.","Paul H. Lamers, Casey Marie Sample",2015-11-17,2015-11-17,2017-05-18,,https://patents.google.com/patent/US20170136493A1/en,
US-2016286662-A1,Methods of transferring electrically conductive materials ,"Ppg Industries Ohio, Inc., Si-Cal Technologies, Inc., A Nissha Company","Jaye Tyler, Paul F. Cheetham, Darren Burn, Gregory J. McCollum",2013-11-01,2014-10-31,2016-09-29,,https://patents.google.com/patent/US20160286662A1/en,
US-6438306-B1,Radiation curable resin composition ,Dsm N.V.,"Timothy E. Bishop, Paul E. Snowwhite, Tyson Norlin, James J. Schouten, John Southwell, Anthony Toussaint",2000-04-07,2000-04-07,2002-08-20,2002-08-20,https://patents.google.com/patent/US6438306B1/en,https://patentimages.storage.googleapis.com/1f/39/aa/db3db2b290277c/US06438306-20020820-D00001.png
US-7276543-B2,Radiation curable resin composition ,Dsm Ip Assets B.V.,"Timothy E. Bishop, Paul E. Snowwhite, Tyson Norlin, James J. Schouten, John Southwell, Anthony Toussaint",2001-10-09,2001-10-09,2007-10-02,2007-10-02,https://patents.google.com/patent/US7276543B2/en,
US-9498155-B2,Signal processing for continuous analyte sensor ,"Dexcom, Inc.","James H. Brauker, Victoria E. Carr-Brendel, Paul V. Goode, Apurv Ullas Kamath, James P. Thrower, Ben Xavier, Peter C. Simpson, Mark A. Tapsak",2003-12-09,2008-10-16,2016-11-22,2016-11-22,https://patents.google.com/patent/US9498155B2/en,https://patentimages.storage.googleapis.com/c6/d5/6d/559856f53b7584/US09498155-20161122-D00000.png
US-8411108-B2,Rotational display system ,"Lightning Wheels, Llc","Mark D. Gilbert, Paul Chen, Lawrence Moens",2004-07-21,2009-12-23,2013-04-02,2013-04-02,https://patents.google.com/patent/US8411108B2/en,https://patentimages.storage.googleapis.com/8f/87/f7/1b8b4c87ee2385/US08411108-20130402-D00000.png
US-9340621-B2,Binding molecules for BCMA and CD3 ,"Boehringer Ingelheim International Gmbh, Amgen Research (Munich) Gmbh","Peter Kufer, Tobias Raum, Patrick Hoffmann, Roman Kischel, Ralf Lutterbuese, Doris Rau, Paul Adam, Eric Borges, Barbara Hebeis, Susanne Hipp",2011-11-15,2012-11-15,2016-05-17,2016-05-17,https://patents.google.com/patent/US9340621B2/en,https://patentimages.storage.googleapis.com/d1/b1/b8/713b44bf89ee01/US09340621-20160517-D00001.png
US-2020017577-A1,TDP-43 Specific Binding Molecules ,"Biogen International Neuroscience Gmbh, University Of Zürich","Roger Nitsch, Christoph Hock, Maria Grazia Barenco Montrasio, Fabio Montrasio, Jan Grimm, Jean-Luc Baeriswyl, Paul Weinreb, Janaky Coomaraswamy, Omar Quintero-Monzon",2011-10-28,2019-02-25,2020-01-16,,https://patents.google.com/patent/US20200017577A1/en,https://patentimages.storage.googleapis.com/ed/43/0d/b5ecc237a1b899/US20200017577A1-20200116-D00001.png
US-2017056528-A1,"Modified nucleosides, nucleotides, and nucleic acids, and uses thereof ","Moderna Therapeutics, Inc.","Antonin de Fougerolles, Atanu Roy, Jason P. Schrum, Suhaib Siddiqi, Paul Hatala, Stephane Bancel",2011-10-03,2016-01-04,2017-03-02,,https://patents.google.com/patent/US20170056528A1/en,https://patentimages.storage.googleapis.com/ab/46/88/883e78f6e16e29/US20170056528A1-20170302-D00001.png
US-7427323-B1,Quinacridone nanoscale pigment particles ,Xerox Corporation,"Maria M. BIRAU, Rina Carlini, C. Geoffrey Allen, Sandra J. Gardner, Karl W. Dawson, Peter G. Odell, Paul F. Smith, Caroline M. Turek, Roger E. Gaynor, Jeffrey H. Banning",2007-06-07,2007-06-07,2008-09-23,2008-09-23,https://patents.google.com/patent/US7427323B1/en,
US-7513624-B2,Method and apparatus for controllably modulating a laser in a laser projection display ,"Symbol Technologies, Inc.","Dmitriy Yavid, Paul Dvorkis, Ron Goldman, Joseph Katz, Narayan Nambudiri, Miklos Stern, Chinh Tan, Carl Wittenberg, Frederick F. Wood",2003-12-31,2007-10-02,2009-04-07,2009-04-07,https://patents.google.com/patent/US7513624B2/en,https://patentimages.storage.googleapis.com/ac/a2/4e/3367fa8cc16927/US07513624-20090407-D00007.png
US-2005170396-A1,Secreted and transmembrane polypeptides and nucleic acids encoding the same ,"Baker Kevin P., Audrey Goddard, Godowski Paul J., Gurney Austin L., Victoria Smith, Wood William I.","Kevin Baker, Audrey Goddard, Paul Godowski, Austin Gurney, Victoria Smith, William Wood",2000-12-01,2005-01-14,2005-08-04,,https://patents.google.com/patent/US20050170396A1/en,https://patentimages.storage.googleapis.com/03/ab/97/be5fe3b4453fd4/US20050170396A1-20050804-D00001.png
US-9265826-B2,Siglec-9 binding agents ,University Court Of The University Of Dundee,"Paul Richard Crocker, Bjoern Biedermann, David Bowen",2005-10-28,2013-03-12,2016-02-23,2016-02-23,https://patents.google.com/patent/US9265826B2/en,https://patentimages.storage.googleapis.com/e5/58/0e/83249a5ff43b13/US09265826-20160223-D00001.png
US-2021330812-A1,Treatment of retinal degeneration using gene therapy ,The University Of Manchester,"Robert Lucas, Paul Bishop, Jasmina Cehajic-Kapetanovic",2014-02-25,2021-01-19,2021-10-28,,https://patents.google.com/patent/US20210330812A1/en,https://patentimages.storage.googleapis.com/fc/64/35/4bd172be5a0f37/US20210330812A1-20211028-D00001.png
US-2007174922-A1,Nucleic acid encoding novel type-1 cytokine receptor glm-r ,"Genentech, Inc.","Nico Ghilardi, Frederic de Sauvage, Audrey Goddard, Paul Godowski, J. Grimaldi, Austin Gurney, William Wood",2002-02-25,2003-02-24,2007-07-26,,https://patents.google.com/patent/US20070174922A1/en,https://patentimages.storage.googleapis.com/6a/b8/d3/28eac33ca9ea21/US20070174922A1-20070726-D00001.png
US-2013011516-A1,Anti-listerial mixed culture and method for producing cheese ,Csk Food Enrichment B.V.,"Carmel GRIFFIN, Susan Mills, Paul Ross, Willem Cornelis Meijer, Lourdes Mariela Serrano Davalos",2011-07-04,2012-07-03,2013-01-10,,https://patents.google.com/patent/US20130011516A1/en,
US-2004057940-A1,Imaging and targeting tumors using sickle cells ,"Kim Jae Ho, Brown Stephen Lawrence, Swerdlow Paul S.","Jae Kim, Stephen Brown, Paul Swerdlow",2000-06-22,2001-06-22,2004-03-25,,https://patents.google.com/patent/US20040057940A1/en,https://patentimages.storage.googleapis.com/bb/db/7a/121f5b37db9cf3/US20040057940A1-20040325-D00001.png
